t,cmd_swing,cmd_boom,cmd_arm,cmd_bucket,fk_x,fk_y,fk_z
4.5800,0.000000,-0.486619,0.980764,-1.094145,5.1485,0.0000,0.5651
4.6000,0.000000,-0.477801,0.980570,-1.102768,5.1505,0.0000,0.5998
4.6200,0.000000,-0.468881,0.980166,-1.111285,5.1524,0.0000,0.6345
4.6400,0.000000,-0.459859,0.979554,-1.119695,5.1542,0.0000,0.6693
4.6600,0.000000,-0.450737,0.978732,-1.127995,5.1559,0.0000,0.7042
4.6800,0.000000,-0.441516,0.977700,-1.136184,5.1575,0.0000,0.7391
4.7030,0.000000,-0.432197,0.976457,-1.144261,5.1591,0.0000,0.7740
4.7200,0.000000,-0.422781,0.975004,-1.152224,5.1605,0.0000,0.8090
4.7400,0.000000,-0.413269,0.973340,-1.160071,5.1619,0.0000,0.8441
4.7600,0.000000,-0.403662,0.971463,-1.167802,5.1632,0.0000,0.8792
4.7800,0.000000,-0.403662,0.971463,-1.167802,5.1632,0.0000,0.8792
4.8000,0.031380,-0.417702,1.001360,-1.183657,5.1294,0.1610,0.8736
4.8200,0.063264,-0.429686,1.026962,-1.197276,5.0942,0.3227,0.8689
4.8400,0.095598,-0.439748,1.048522,-1.208775,5.0576,0.4850,0.8651
4.8600,0.128323,-0.447991,1.066233,-1.218241,5.0194,0.6477,0.8619
4.8800,0.161375,-0.454496,1.080238,-1.225742,4.9797,0.8106,0.8595
4.9000,0.194686,-0.459322,1.090646,-1.231324,4.9382,0.9737,0.8577
4.9200,0.228183,-0.462511,1.097533,-1.235022,4.8951,1.1368,0.8565
4.9400,0.261793,-0.464091,1.100949,-1.236858,4.8504,1.2996,0.8559
4.9600,0.295441,-0.464076,1.100916,-1.236840,4.8039,1.4621,0.8559
4.9800,0.295441,-0.464076,1.100916,-1.236840,4.8039,1.4621,0.8559
5.0000,0.295441,-0.474061,1.102645,-1.228584,4.8025,1.4616,0.8204
5.0200,0.295441,-0.483961,1.104179,-1.220218,4.8009,1.4612,0.7848
5.0400,0.295441,-0.493776,1.105518,-1.211743,4.7993,1.4606,0.7493
5.0600,0.295441,-0.503503,1.106664,-1.203161,4.7975,1.4601,0.7139
5.0800,0.295441,-0.513142,1.107616,-1.194474,4.7957,1.4595,0.6785
5.1000,0.295441,-0.522691,1.108374,-1.185683,4.7937,1.4590,0.6431
5.1200,0.295441,-0.532148,1.108939,-1.176791,4.7917,1.4583,0.6078
5.1400,0.295441,-0.541513,1.109312,-1.167798,4.7895,1.4577,0.5726
5.1600,0.295441,-0.550784,1.109491,-1.158707,4.7873,1.4570,0.5374
5.1800,0.295441,-0.550784,1.109491,-1.158707,4.7873,1.4570,0.5374
5.2000,0.294076,-0.549682,1.107280,-1.157598,4.7918,1.4512,0.5379
5.2200,0.292713,-0.548575,1.105058,-1.156483,4.7963,1.4455,0.5383
5.2400,0.291352,-0.547463,1.102826,-1.155363,4.8008,1.4397,0.5388
5.2600,0.289993,-0.546346,1.100583,-1.154238,4.8052,1.4339,0.5393
5.2800,0.288636,-0.545223,1.098330,-1.153107,4.8097,1.4281,0.5398
5.3000,0.287281,-0.544094,1.096066,-1.151971,4.8142,1.4224,0.5402
5.3200,0.285929,-0.542961,1.093791,-1.150830,4.8187,1.4166,0.5407
5.3400,0.284578,-0.541822,1.091505,-1.149684,4.8231,1.4109,0.5412
5.3600,0.283229,-0.540677,1.089209,-1.148531,4.8276,1.4051,0.5417
5.3800,0.281882,-0.539527,1.086901,-1.147374,4.8321,1.3993,0.5422
5.4000,0.280537,-0.538372,1.084583,-1.146211,4.8365,1.3936,0.5427
5.4200,0.279194,-0.537211,1.082253,-1.145042,4.8410,1.3878,0.5432
5.4400,0.277853,-0.536045,1.079913,-1.143868,4.8455,1.3821,0.5437
5.4600,0.276514,-0.534873,1.077561,-1.142688,4.8499,1.3763,0.5442
5.4810,0.275177,-0.533695,1.075198,-1.141503,4.8544,1.3706,0.5447
5.5000,0.273842,-0.532512,1.072823,-1.140312,4.8588,1.3648,0.5452
5.5200,0.272509,-0.531323,1.070438,-1.139115,4.8633,1.3591,0.5457
5.5400,0.271178,-0.530128,1.068040,-1.137913,4.8677,1.3534,0.5462
5.5600,0.269849,-0.528927,1.065632,-1.136704,4.8722,1.3476,0.5467
6.3040,0.033445,-0.061012,0.128432,-0.667420,5.6656,0.1896,0.7679
6.3050,0.027926,-0.087393,0.181210,-0.693818,5.6574,0.1580,0.7548
6.3240,0.022384,-0.107385,0.221211,-0.713826,5.6492,0.1265,0.7448
6.3440,0.016821,-0.124035,0.254528,-0.730493,5.6409,0.0949,0.7366
6.3650,0.011235,-0.138525,0.283524,-0.744999,5.6327,0.0633,0.7294
6.3840,0.005628,-0.151463,0.309414,-0.757952,5.6243,0.0317,0.7230
6.4080,0.000000,-0.163208,0.332921,-0.769713,5.6160,0.0000,0.7172
6.4290,0.000000,-0.163208,0.332921,-0.769713,5.6160,0.0000,0.7172
6.4440,0.000000,-0.155421,0.332421,-0.777000,5.6166,0.0000,0.7508
6.4640,0.000000,-0.147364,0.331381,-0.784017,5.6171,0.0000,0.7845
6.4840,0.000000,-0.139038,0.329797,-0.790759,5.6175,0.0000,0.8184
6.5040,0.000000,-0.130439,0.327661,-0.797222,5.6179,0.0000,0.8523
6.5240,0.000000,-0.121562,0.324962,-0.803400,5.6183,0.0000,0.8865
6.5440,0.000000,-0.112401,0.321687,-0.809286,5.6185,0.0000,0.9207
6.5640,0.000000,-0.102949,0.317818,-0.814869,5.6187,0.0000,0.9551
6.5840,0.000000,-0.093197,0.313334,-0.820138,5.6188,0.0000,0.9897
6.6040,0.000000,-0.083130,0.308210,-0.825080,5.6189,0.0000,1.0244
6.6240,0.000000,-0.083130,0.308210,-0.825080,5.6189,0.0000,1.0244
